Customer_ID,Customer_Name,Age,Gender,City,State,Registration_Date
C00081,Customer_00081,59,Male,Pune,Maharashtra,2024-01-12
C00082,Customer_00082,41,Female,Udaipur,Rajasthan,2024-09-06
C00083,Customer_00083,51,Female,Varanasi,Uttar Pradesh,2026-02-04
C00084,Customer_00084,27,Male,Surat,Gujarat,2026-06-14
C00085,Customer_00085,28,Male,Nagpur,Maharashtra,2025-11-17
C00086,Customer_00086,29,Female,New Delhi,Delhi,2025-11-20
C00087,Customer_00087,24,Female,Delhi,Delhi,2026-03-04
C00088,Customer_00088,29,Male,Udaipur,Rajasthan,2026-04-15
C00089,Customer_00089,30,Female,Jaipur,Rajasthan,2025-11-05
C00090,Customer_00090,38,Male,Gaya,Bihar,2025-09-29
C00091,Customer_00091,51,Male,Kolkata,West Bengal,2024-08-15
C00092,Customer_00092,54,Female,Chennai,Tamil Nadu,2025-10-22
C00093,Customer_00093,43,Female,Lucknow,Uttar Pradesh,2024-03-22
C00094,Customer_00094,24,Male,Bhagalpur,Bihar,2025-08-01
C00095,Customer_00095,28,Male,Jamshedpur,Jharkhand,2024-08-03
C00096,Customer_00096,32,Male,Chennai,Tamil Nadu,2026-03-20
C00097,Customer_00097,42,Male,Ahmedabad,Gujarat,2026-03-21
C00098,Customer_00098,40,Female,Jamshedpur,Jharkhand,2024-12-05
C00099,Customer_00099,52,Female,Surat,Gujarat,2026-06-21
C00100,Customer_00100,64,Male,Delhi,Delhi,2025-06-13
C00101,Customer_00101,36,Female,Ahmedabad,Gujarat,2025-01-08
C00102,Customer_00102,25,Female,Pune,Maharashtra,2024-10-05
C00103,Customer_00103,43,Female,Surat,Gujarat,2024-07-12
C00104,Customer_00104,55,Female,Mysuru,Karnataka,2026-02-15
C00105,Customer_00105,47,Male,Pune,Maharashtra,2025-03-25
C00106,Customer_00106,63,Male,Jamshedpur,Jharkhand,2024-02-13
C00107,Customer_00107,51,Male,Jamshedpur,Jharkhand,2024-08-30
C00108,Customer_00108,51,Male,Jamshedpur,Jharkhand,2026-03-19
C00109,Customer_00109,56,Female,Kolkata,West Bengal,2024-03-29
C00110,Customer_00110,54,Male,Mysuru,Karnataka,2024-09-12
C00111,Customer_00111,57,Female,Surat,Gujarat,2025-10-06
C00112,Customer_00112,28,Female,Varanasi,Uttar Pradesh,2024-04-06
C00113,Customer_00113,22,Female,Bengaluru,Karnataka,2026-03-03
C00114,Customer_00114,63,Male,Varanasi,Uttar Pradesh,2025-08-08
C00115,Customer_00115,59,Female,Chennai,Tamil Nadu,2026-03-26
C00116,Customer_00116,45,Male,Patna,Bihar,2025-04-20
C00117,Customer_00117,35,Female,Bengaluru,Karnataka,2024-06-11
C00118,Customer_00118,38,Male,Delhi,Delhi,2025-11-20
C00119,Customer_00119,43,Male,Ahmedabad,Gujarat,2025-10-30
C00120,Customer_00120,44,Male,Kanpur,Uttar Pradesh,2025-09-15
C00121,Customer_00121,19,Male,Lucknow,Uttar Pradesh,2025-11-08
C00122,Customer_00122,54,Male,Durgapur,West Bengal,2025-01-28
C00123,Customer_00123,42,Male,Patna,Bihar,2026-04-25
C00124,Customer_00124,32,Female,Chennai,Tamil Nadu,2025-07-26
C00125,Customer_00125,19,Male,Ahmedabad,Gujarat,2024-01-09
C00126,Customer_00126,21,Female,Udaipur,Rajasthan,2026-03-20
C00127,Customer_00127,58,Female,Pune,Maharashtra,2025-05-09
C00128,Customer_00128,31,Female,Pune,Maharashtra,2026-02-11
C00129,Customer_00129,41,Male,Mysuru,Karnataka,2025-12-13
C00130,Customer_00130,22,Male,Coimbatore,Tamil Nadu,2025-03-02
C00131,Customer_00131,29,Male,Delhi,Delhi,2025-07-25
C00132,Customer_00132,19,Female,Bengaluru,Karnataka,2024-09-29
C00133,Customer_00133,56,Female,Kanpur,Uttar Pradesh,2025-01-26
C00134,Customer_00134,59,Female,Kanpur,Uttar Pradesh,2026-01-31
C00135,Customer_00135,36,Female,Durgapur,West Bengal,2025-07-12
C00136,Customer_00136,28,Male,Bengaluru,Karnataka,2025-12-03
C00137,Customer_00137,19,Female,Ranchi,Jharkhand,2025-01-26
C00138,Customer_00138,35,Male,Mumbai,Maharashtra,2026-02-13
C00139,Customer_00139,18,Male,New Delhi,Delhi,2026-06-23
C00140,Customer_00140,26,Male,Pune,Maharashtra,2024-03-31
C00141,Customer_00141,58,Female,Lucknow,Uttar Pradesh,2024-12-21
C00142,Customer_00142,63,Male,Mumbai,Maharashtra,2026-06-04
C00143,Customer_00143,62,Female,Delhi,Delhi,2025-02-21
C00144,Customer_00144,46,Male,New Delhi,Delhi,2025-10-26
C00145,Customer_00145,54,Female,Udaipur,Rajasthan,2024-06-20
C00146,Customer_00146,44,Male,Delhi,Delhi,2026-02-08
C00147,Customer_00147,61,Male,Durgapur,West Bengal,2026-02-18
C00148,Customer_00148,34,Female,Jaipur,Rajasthan,2025-07-26
C00149,Customer_00149,35,Male,Jamshedpur,Jharkhand,2024-02-21
C00150,Customer_00150,33,Female,Jamshedpur,Jharkhand,2025-04-20
C00151,Customer_00151,49,Male,Udaipur,Rajasthan,2024-03-12
C00152,Customer_00152,64,Male,Delhi,Delhi,2026-06-08
C00153,Customer_00153,52,Male,Coimbatore,Tamil Nadu,2025-08-21
C00154,Customer_00154,43,Male,Bhagalpur,Bihar,2025-03-19
C00155,Customer_00155,49,Male,Lucknow,Uttar Pradesh,2024-04-24
C00156,Customer_00156,45,Male,Varanasi,Uttar Pradesh,2024-08-17
C00157,Customer_00157,58,Female,Lucknow,Uttar Pradesh,2024-03-09
C00158,Customer_00158,55,Female,Durgapur,West Bengal,2025-07-23
C00159,Customer_00159,40,Female,Surat,Gujarat,2025-12-13
C00160,Customer_00160,31,Female,Muzaffarpur,Bihar,2025-01-30
C00161,Customer_00161,41,Male,New Delhi,Delhi,2025-09-27
C00162,Customer_00162,30,Female,Gaya,Bihar,2026-02-19
C00163,Customer_00163,23,Female,Mysuru,Karnataka,2025-09-28
C00164,Customer_00164,59,Female,Chennai,Tamil Nadu,2024-07-23
C00165,Customer_00165,22,Male,Varanasi,Uttar Pradesh,2026-03-16
C00166,Customer_00166,45,Female,Pune,Maharashtra,2024-02-28
C00167,Customer_00167,20,Female,Udaipur,Rajasthan,2024-02-01
C00168,Customer_00168,20,Male,New Delhi,Delhi,2024-02-02
C00169,Customer_00169,33,Male,Ahmedabad,Gujarat,2025-08-19
C00170,Customer_00170,37,Female,Kolkata,West Bengal,2024-11-20
C00171,Customer_00171,36,Male,Nagpur,Maharashtra,2024-09-08
C00172,Customer_00172,18,Female,Varanasi,Uttar Pradesh,2024-06-12
C00173,Customer_00173,24,Female,Chennai,Tamil Nadu,2025-09-16
C00174,Customer_00174,18,Male,New Delhi,Delhi,2024-01-19
C00175,Customer_00175,62,Male,Nagpur,Maharashtra,2025-03-18
C00176,Customer_00176,50,Male,Ahmedabad,Gujarat,2025-05-09
C00177,Customer_00177,29,Female,Ahmedabad,Gujarat,2024-04-27
C00178,Customer_00178,26,Male,Varanasi,Uttar Pradesh,2024-02-09
C00179,Customer_00179,50,Female,Chennai,Tamil Nadu,2025-02-14
C00180,Customer_00180,30,Male,New Delhi,Delhi,2026-04-11
C00181,Customer_00181,54,Female,Delhi,Delhi,2025-07-04
C00182,Customer_00182,37,Male,Mumbai,Maharashtra,2024-03-27
C00183,Customer_00183,62,Female,Patna,Bihar,2024-08-22
C00184,Customer_00184,19,Male,Varanasi,Uttar Pradesh,2025-12-04
C00185,Customer_00185,62,Female,Chennai,Tamil Nadu,2025-02-22
C00186,Customer_00186,26,Male,Gaya,Bihar,2025-02-14
C00187,Customer_00187,37,Male,Muzaffarpur,Bihar,2026-02-06
C00188,Customer_00188,21,Female,Nagpur,Maharashtra,2026-06-08
C00189,Customer_00189,53,Female,Coimbatore,Tamil Nadu,2024-02-01
C00190,Customer_00190,26,Female,Ranchi,Jharkhand,2026-03-03
C00191,Customer_00191,25,Male,Udaipur,Rajasthan,2026-02-05
C00192,Customer_00192,38,Male,Delhi,Delhi,2025-09-07
C00193,Customer_00193,64,Male,Bhagalpur,Bihar,2025-02-17
C00194,Customer_00194,29,Female,Patna,Bihar,2025-05-22
C00195,Customer_00195,34,Male,Coimbatore,Tamil Nadu,2026-02-09
C00196,Customer_00196,61,Male,Mysuru,Karnataka,2025-03-05
C00197,Customer_00197,24,Male,Patna,Bihar,2026-04-19
C00198,Customer_00198,19,Female,Delhi,Delhi,2024-09-09
C00199,Customer_00199,63,Male,Delhi,Delhi,2025-04-12
C00200,Customer_00200,21,Female,Patna,Bihar,2026-01-09
C00201,Customer_00201,59,Female,Mumbai,Maharashtra,2026-01-29
C00202,Customer_00202,26,Female,Udaipur,Rajasthan,2025-10-27
C00203,Customer_00203,18,Male,Muzaffarpur,Bihar,2025-05-16
C00204,Customer_00204,52,Male,New Delhi,Delhi,2024-03-26
C00205,Customer_00205,61,Female,Gaya,Bihar,2024-07-22
C00206,Customer_00206,53,Female,Ahmedabad,Gujarat,2026-01-17
C00207,Customer_00207,35,Female,Jaipur,Rajasthan,2025-02-28
C00208,Customer_00208,57,Female,New Delhi,Delhi,2024-11-18
C00209,Customer_00209,45,Female,Lucknow,Uttar Pradesh,2026-01-04
C00210,Customer_00210,47,Male,Udaipur,Rajasthan,2024-01-19
C00211,Customer_00211,53,Female,Jamshedpur,Jharkhand,2026-03-19
C00212,Customer_00212,23,Female,Kolkata,West Bengal,2026-01-31
C00213,Customer_00213,49,Male,Kolkata,West Bengal,2024-02-22
C00214,Customer_00214,46,Male,Delhi,Delhi,2025-01-26
C00215,Customer_00215,41,Male,Muzaffarpur,Bihar,2025-07-22
C00216,Customer_00216,20,Female,Mysuru,Karnataka,2025-10-02
C00217,Customer_00217,65,Female,Bengaluru,Karnataka,2025-11-28
C00218,Customer_00218,39,Male,Bengaluru,Karnataka,2024-07-24
C00219,Customer_00219,30,Male,Bhagalpur,Bihar,2024-11-10
C00220,Customer_00220,45,Male,Pune,Maharashtra,2024-04-01
C00221,Customer_00221,24,Female,Delhi,Delhi,2025-12-25
C00222,Customer_00222,43,Female,Surat,Gujarat,2026-02-02
C00223,Customer_00223,29,Male,Lucknow,Uttar Pradesh,2025-09-21
C00224,Customer_00224,40,Male,Ranchi,Jharkhand,2025-06-08
C00225,Customer_00225,57,Male,Delhi,Delhi,2025-08-25
C00226,Customer_00226,26,Male,New Delhi,Delhi,2025-03-21
C00227,Customer_00227,38,Female,Mumbai,Maharashtra,2024-04-12
C00228,Customer_00228,53,Female,Lucknow,Uttar Pradesh,2025-04-23
C00229,Customer_00229,65,Female,Kolkata,West Bengal,2024-12-13
C00230,Customer_00230,24,Female,Kolkata,West Bengal,2026-05-23
C00231,Customer_00231,61,Male,Kanpur,Uttar Pradesh,2025-04-24
C00232,Customer_00232,47,Male,Patna,Bihar,2024-07-13
C00233,Customer_00233,51,Female,New Delhi,Delhi,2025-03-29
C00234,Customer_00234,35,Male,Ranchi,Jharkhand,2025-05-16
C00235,Customer_00235,29,Female,Bengaluru,Karnataka,2025-08-22
C00236,Customer_00236,20,Male,Durgapur,West Bengal,2024-12-16
C00237,Customer_00237,28,Female,Muzaffarpur,Bihar,2024-03-27
C00238,Customer_00238,37,Male,Mysuru,Karnataka,2024-03-05
C00239,Customer_00239,35,Male,Kolkata,West Bengal,2026-04-11
C00240,Customer_00240,20,Male,Ranchi,Jharkhand,2025-01-31
C00241,Customer_00241,47,Female,Jamshedpur,Jharkhand,2024-09-27
C00242,Customer_00242,34,Male,Delhi,Delhi,2024-05-05
C00243,Customer_00243,62,Male,Udaipur,Rajasthan,2025-08-09
C00244,Customer_00244,49,Male,Durgapur,West Bengal,2026-01-26
C00245,Customer_00245,26,Female,Kolkata,West Bengal,2024-05-08
C00246,Customer_00246,48,Male,Nagpur,Maharashtra,2025-04-13
C00247,Customer_00247,60,Male,Nagpur,Maharashtra,2024-03-07
C00248,Customer_00248,21,Female,Lucknow,Uttar Pradesh,2025-08-01
C00249,Customer_00249,43,Male,Muzaffarpur,Bihar,2025-06-12
C00250,Customer_00250,18,Male,Coimbatore,Tamil Nadu,2025-04-08
C00251,Customer_00251,21,Female,Mumbai,Maharashtra,2026-05-24
C00252,Customer_00252,63,Female,New Delhi,Delhi,2025-05-10
C00253,Customer_00253,27,Female,Lucknow,Uttar Pradesh,2024-09-30
C00254,Customer_00254,65,Male,Varanasi,Uttar Pradesh,2024-05-25
C00255,Customer_00255,63,Male,Jaipur,Rajasthan,2026-03-15
C00256,Customer_00256,65,Female,Pune,Maharashtra,2024-04-08
C00257,Customer_00257,60,Male,Mysuru,Karnataka,2025-09-08
C00258,Customer_00258,36,Female,Udaipur,Rajasthan,2024-01-19
C00259,Customer_00259,63,Female,Mysuru,Karnataka,2026-03-03
C00260,Customer_00260,35,Male,Udaipur,Rajasthan,2025-10-10
C00261,Customer_00261,24,Female,Durgapur,West Bengal,2024-02-28
C00262,Customer_00262,34,Female,Chennai,Tamil Nadu,2024-03-07
C00263,Customer_00263,20,Male,New Delhi,Delhi,2024-04-03
C00264,Customer_00264,40,Male,Surat,Gujarat,2025-11-01
C00265,Customer_00265,46,Male,Nagpur,Maharashtra,2025-05-30
C00266,Customer_00266,62,Female,Gaya,Bihar,2025-07-02
C00267,Customer_00267,53,Female,Nagpur,Maharashtra,2025-06-07
C00268,Customer_00268,36,Female,Kolkata,West Bengal,2025-12-20
C00269,Customer_00269,51,Male,Bengaluru,Karnataka,2025-07-07
C00270,Customer_00270,39,Female,Mysuru,Karnataka,2024-06-29
C00271,Customer_00271,46,Male,Kanpur,Uttar Pradesh,2024-09-20
C00272,Customer_00272,25,Female,Jamshedpur,Jharkhand,2025-01-11
C00273,Customer_00273,23,Male,Bengaluru,Karnataka,2025-07-22
C00274,Customer_00274,46,Male,Durgapur,West Bengal,2026-06-29
C00275,Customer_00275,26,Male,Delhi,Delhi,2025-12-13
C00276,Customer_00276,57,Male,Kolkata,West Bengal,2024-10-19
C00277,Customer_00277,36,Male,New Delhi,Delhi,2024-03-16
C00278,Customer_00278,55,Male,Surat,Gujarat,2025-02-22
C00279,Customer_00279,24,Male,Muzaffarpur,Bihar,2025-02-12
C00280,Customer_00280,27,Male,Surat,Gujarat,2024-04-24
C00281,Customer_00281,29,Female,Bengaluru,Karnataka,2025-10-30
C00282,Customer_00282,65,Male,Delhi,Delhi,2026-01-20
C00283,Customer_00283,64,Female,Durgapur,West Bengal,2024-09-28
C00284,Customer_00284,65,Female,Bengaluru,Karnataka,2024-04-14
C00285,Customer_00285,23,Female,Coimbatore,Tamil Nadu,2026-03-20
C00286,Customer_00286,21,Female,Patna,Bihar,2026-02-06
C00287,Customer_00287,42,Male,Pune,Maharashtra,2024-10-21
C00288,Customer_00288,30,Female,Pune,Maharashtra,2025-02-16
C00289,Customer_00289,37,Male,Jamshedpur,Jharkhand,2025-11-08
C00290,Customer_00290,18,Male,Bhagalpur,Bihar,2025-02-20
C00291,Customer_00291,29,Male,New Delhi,Delhi,2025-06-23
C00292,Customer_00292,44,Female,Kolkata,West Bengal,2025-11-13
C00293,Customer_00293,64,Female,Jaipur,Rajasthan,2026-04-23
C00294,Customer_00294,55,Female,Udaipur,Rajasthan,2024-03-27
C00295,Customer_00295,54,Female,Mysuru,Karnataka,2025-11-22
C00296,Customer_00296,42,Female,Ahmedabad,Gujarat,2025-03-30
C00297,Customer_00297,21,Male,Pune,Maharashtra,2026-03-29
C00298,Customer_00298,26,Male,Jamshedpur,Jharkhand,2024-01-07
C00299,Customer_00299,53,Male,Lucknow,Uttar Pradesh,2026-06-11
C00300,Customer_00300,26,Male,Muzaffarpur,Bihar,2025-01-26
C00301,Customer_00301,47,Male,Jamshedpur,Jharkhand,2024-02-02
C00302,Customer_00302,34,Female,Lucknow,Uttar Pradesh,2024-10-31
C00303,Customer_00303,35,Male,Ahmedabad,Gujarat,2024-02-05
C00304,Customer_00304,54,Male,Varanasi,Uttar Pradesh,2025-04-19
C00305,Customer_00305,24,Female,Patna,Bihar,2025-09-13
C00306,Customer_00306,42,Male,Jaipur,Rajasthan,2025-01-24
C00307,Customer_00307,43,Female,Varanasi,Uttar Pradesh,2025-08-15
C00308,Customer_00308,24,Female,Kanpur,Uttar Pradesh,2024-05-19
C00309,Customer_00309,48,Female,Lucknow,Uttar Pradesh,2025-07-12
C00310,Customer_00310,42,Male,Pune,Maharashtra,2026-01-19
C00311,Customer_00311,19,Male,Udaipur,Rajasthan,2025-01-27
C00312,Customer_00312,51,Female,Durgapur,West Bengal,2025-04-10
C00313,Customer_00313,39,Male,New Delhi,Delhi,2025-07-11
C00314,Customer_00314,58,Male,Ranchi,Jharkhand,2026-03-02
C00315,Customer_00315,47,Male,Gaya,Bihar,2026-04-16
C00316,Customer_00316,51,Male,New Delhi,Delhi,2024-04-12
C00317,Customer_00317,54,Female,Jamshedpur,Jharkhand,2025-10-05
C00318,Customer_00318,40,Female,New Delhi,Delhi,2024-07-01
C00319,Customer_00319,51,Female,Nagpur,Maharashtra,2024-10-08
C00320,Customer_00320,39,Female,Jamshedpur,Jharkhand,2025-09-12
C00321,Customer_00321,50,Male,Udaipur,Rajasthan,2024-04-07
C00322,Customer_00322,21,Female,Bengaluru,Karnataka,2024-10-27
C00323,Customer_00323,51,Male,Muzaffarpur,Bihar,2026-01-13
C00324,Customer_00324,60,Male,Patna,Bihar,2024-07-29
C00325,Customer_00325,24,Male,Kanpur,Uttar Pradesh,2026-05-31
C00326,Customer_00326,62,Male,Bengaluru,Karnataka,2025-07-13
C00327,Customer_00327,61,Male,Lucknow,Uttar Pradesh,2024-02-26
C00328,Customer_00328,53,Male,Jamshedpur,Jharkhand,2026-01-10
C00329,Customer_00329,29,Female,Varanasi,Uttar Pradesh,2024-05-17
C00330,Customer_00330,55,Male,Mysuru,Karnataka,2025-04-11
C00331,Customer_00331,38,Female,Lucknow,Uttar Pradesh,2025-06-02
C00332,Customer_00332,28,Female,Udaipur,Rajasthan,2026-02-20
C00333,Customer_00333,52,Male,Ranchi,Jharkhand,2026-01-30
C00334,Customer_00334,36,Female,Surat,Gujarat,2024-10-13
C00335,Customer_00335,58,Male,Bengaluru,Karnataka,2024-12-09
C00336,Customer_00336,46,Female,Jaipur,Rajasthan,2024-08-30
C00337,Customer_00337,65,Female,Muzaffarpur,Bihar,2025-09-01
C00338,Customer_00338,22,Female,Chennai,Tamil Nadu,2025-02-08
C00339,Customer_00339,52,Female,New Delhi,Delhi,2025-06-14
C00340,Customer_00340,39,Male,Bhagalpur,Bihar,2024-10-12
C00341,Customer_00341,58,Female,Patna,Bihar,2025-02-26
C00342,Customer_00342,65,Male,Jamshedpur,Jharkhand,2024-07-21
C00343,Customer_00343,36,Female,Lucknow,Uttar Pradesh,2025-09-26
C00344,Customer_00344,51,Female,Chennai,Tamil Nadu,2024-07-22
C00345,Customer_00345,52,Female,Durgapur,West Bengal,2024-06-18
C00346,Customer_00346,50,Male,Mumbai,Maharashtra,2026-03-30
C00347,Customer_00347,20,Female,Pune,Maharashtra,2024-09-25
C00348,Customer_00348,47,Female,New Delhi,Delhi,2026-06-20
C00349,Customer_00349,20,Female,Surat,Gujarat,2026-05-12
C00350,Customer_00350,37,Female,Nagpur,Maharashtra,2024-03-04
C00351,Customer_00351,60,Male,Muzaffarpur,Bihar,2026-04-15
C00352,Customer_00352,30,Female,New Delhi,Delhi,2024-03-09
C00353,Customer_00353,46,Female,Mysuru,Karnataka,2025-09-08
C00354,Customer_00354,29,Male,Bengaluru,Karnataka,2024-05-27
C00355,Customer_00355,24,Female,Kolkata,West Bengal,2024-07-14
C00356,Customer_00356,63,Male,Kolkata,West Bengal,2024-05-24
C00357,Customer_00357,32,Female,Bengaluru,Karnataka,2026-02-28
C00358,Customer_00358,45,Female,Kanpur,Uttar Pradesh,2025-10-26
C00359,Customer_00359,45,Male,Mysuru,Karnataka,2025-11-10
C00360,Customer_00360,32,Male,Udaipur,Rajasthan,2025-11-14
C00361,Customer_00361,64,Female,Mumbai,Maharashtra,2025-07-02
C00362,Customer_00362,36,Male,Mysuru,Karnataka,2025-10-06
C00363,Customer_00363,23,Male,Patna,Bihar,2024-08-21
C00364,Customer_00364,36,Female,Bengaluru,Karnataka,2024-02-06
C00365,Customer_00365,26,Female,Mysuru,Karnataka,2025-01-19
C00366,Customer_00366,19,Female,Mysuru,Karnataka,2025-07-23
C00367,Customer_00367,26,Female,New Delhi,Delhi,2024-09-10
C00368,Customer_00368,31,Female,Bengaluru,Karnataka,2024-03-23
C00369,Customer_00369,28,Male,Nagpur,Maharashtra,2025-10-22
C00370,Customer_00370,33,Male,Ahmedabad,Gujarat,2024-12-10
C00371,Customer_00371,54,Male,Udaipur,Rajasthan,2024-12-31
C00372,Customer_00372,55,Female,Durgapur,West Bengal,2026-03-24
C00373,Customer_00373,60,Male,Delhi,Delhi,2026-05-06
C00374,Customer_00374,34,Male,Durgapur,West Bengal,2024-09-14
C00375,Customer_00375,35,Female,Gaya,Bihar,2025-08-23
C00376,Customer_00376,54,Female,Surat,Gujarat,2024-03-26
C00377,Customer_00377,21,Male,Nagpur,Maharashtra,2025-03-06
C00378,Customer_00378,47,Female,Jaipur,Rajasthan,2024-12-12
C00379,Customer_00379,43,Male,Bengaluru,Karnataka,2025-10-04
C00380,Customer_00380,22,Male,Nagpur,Maharashtra,2024-11-08
C00381,Customer_00381,46,Male,Mysuru,Karnataka,2026-02-18
C00382,Customer_00382,26,Female,Chennai,Tamil Nadu,2025-06-15
C00383,Customer_00383,54,Male,Kanpur,Uttar Pradesh,2025-08-24
C00384,Customer_00384,63,Female,Jaipur,Rajasthan,2024-06-21
C00385,Customer_00385,34,Male,Kolkata,West Bengal,2025-07-10
C00386,Customer_00386,24,Male,Delhi,Delhi,2024-08-21
C00387,Customer_00387,61,Male,Nagpur,Maharashtra,2026-03-29
C00388,Customer_00388,50,Female,Varanasi,Uttar Pradesh,2024-03-11
C00389,Customer_00389,39,Male,Chennai,Tamil Nadu,2024-12-31
